"Name","PositionShort","PositionLong","Wiki","Birthdate","Deathdate","Deathcause"
"Matvei Muranov","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Matvei_Muranov","29 November 1873","9 December 1959","natural causes"
"Viktor Nogin","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Viktor_Nogin","REPEAT","REPEAT","REPEAT"
"Alexei Rykov","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Alexei_Rykov","REPEAT","REPEAT","REPEAT"
"Yakov Sverdlov","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Yakov_Sverdlov","3 June 1885","16 March 1919","likely natural causes"
"Ivar Smilga","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Ivar_Smilga","19 November 1892","10 January 1937","execution by NKVD"
"Grigori Sokolnikov","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Grigori_Sokolnikov","3 August 1888","21 May 1939","assassination by NKVD"
"Joseph Stalin","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Joseph_Stalin","REPEAT","REPEAT","REPEAT"
"Leon Trotsky","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Leon_Trotsky","REPEAT","REPEAT","REPEAT"
"Moisei Uritsky","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Moisei_Uritsky","2 January 1873","2 January 1918","assassination by anti-Communist"
"Stepan Shaumian","TsK member Aug 1917","RSDLP(b) Central Committee, 6th Congress, August 1917","https://en.wikipedia.org/wiki/Stepan_Shaumian","1 October 1878","20 September 1918","execution by Bolsheviks"
"Leon Trotsky","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Leon_Trotsky","REPEAT","REPEAT","REPEAT"
"Yakov Sverdlov","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Yakov_Sverdlov","REPEAT","REPEAT","REPEAT"
"Grigory Zinoviev","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Grigory_Zinoviev","REPEAT","REPEAT","REPEAT"
"Nikolai Bukharin","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Nikolai_Bukharin","REPEAT","REPEAT","REPEAT"
"Joseph Stalin","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Joseph_Stalin","REPEAT","REPEAT","REPEAT"
"Felix Dzerzhinsky","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Felix_Dzerzhinsky","REPEAT","REPEAT","REPEAT"
"Grigori Sokolnikov","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Grigori_Sokolnikov","REPEAT","REPEAT","REPEAT"
"Nikolay Krestinsky","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Nikolay_Krestinsky","REPEAT","REPEAT","REPEAT"
"Ivar Smilga","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Ivar_Smilga","REPEAT","REPEAT","REPEAT"
"Elena Stasova","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Elena_Stasova","15 October 1873","31 December 1966","natural causes"
"Mikhail Lashevich","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Mikhail_Lashevich","1 January 1884","30 August 1928","suicide"
"Otto Schmidt","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Otto_Schmidt","30 September 1891","7 September 1956","natural causes"
"Mikhail Vladimirsky","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Mikhail_Vladimirsky","4 March 1874","2 April 1951","natural causes"
"Fyodor Sergeyev","TsK member Mar 1918","RSDLP(b) Central Committee, 7th Congress, March 1918","https://en.wikipedia.org/wiki/Fyodor_Sergeyev","REPEAT","REPEAT","REPEAT"
